Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2025-02-03,201.22999572753906,203.75,200.10000610351562,200.69000244140625,27838300
2025-02-04,206.3800048828125,207.0500030517578,202.80999755859375,203.38999938964844,43856400
2025-02-05,191.3300018310547,192.75,188.02999877929688,191.07000732421875,70373900
2025-02-06,191.60000610351562,192.10000610351562,188.72000122070312,189.5,29297400
2025-02-07,185.33999633789062,191.17999267578125,183.24000549316406,191.0500030517578,49315000
2025-02-10,186.47000122070312,188.1999969482422,185.86000061035156,187.35000610351562,23105600
2025-02-11,185.32000732421875,186.94000244140625,184.27999877929688,185.02999877929688,21239500
2025-02-12,183.61000061035156,185.11000061035156,181.8300018310547,183.22000122070312,22072600
2025-02-13,186.13999938964844,186.27999877929688,183.13999938964844,184.32000732421875,21402500
2025-02-14,185.22999572753906,186.39999389648438,184.32000732421875,185.05999755859375,20448400
2025-02-18,183.77000427246094,185.9600067138672,181.74000549316406,185.60000610351562,29916700
2025-02-19,185.27000427246094,185.4600067138672,183.58999633789062,184.07000732421875,19549400
2025-02-20,184.55999755859375,185.30999755859375,182.72000122070312,184.8000030517578,20441500
2025-02-21,179.66000366210938,185.33999633789062,179.0800018310547,185.14999389648438,35199200
2025-02-24,179.25,183.1199951171875,178.88999938964844,181.99000549316406,29854200
2025-02-25,175.4199981689453,178.74000549316406,174.69000244140625,178.0399932861328,41913400
2025-02-26,172.72999572753906,176.0800018310547,171.5800018310547,175.07000732421875,35431300
2025-02-27,168.5,174.55999755859375,167.94000244140625,173.99000549316406,39991000
2025-02-28,170.27999877929688,170.61000061035156,166.77000427246094,168.67999267578125,48130600
2025-03-03,167.00999450683594,173.3699951171875,165.92999267578125,171.92999267578125,40770500
